Country Name,Country Code,GDP per capita in US dollars 2023
"Aruba,ABW,""33984,79062"""
"Africa Eastern and Southern,AFE,""1659,51529"""
"Afghanistan,AFG,""415,7074171"""
"Africa Western and Central,AFW,""1568,72431"""
"Angola,AGO,""2308,159767"""
"Albania,ALB,""8575,171134"""
"Andorra,AND,""46812,44845"""
"Arab World,ARB,""7292,210408"""
"United Arab Emirates,ARE,""49040,69475"""
"Argentina,ARG,""14187,48273"""
"Armenia,ARM,""8053,010663"""
American Samoa,ASM,
"Antigua and Barbuda,ATG,""21787,10173"""
"Australia,AUS,""64820,91179"""
"Austria,AUT,""56033,57379"""
"Azerbaijan,AZE,""7125,908584"""
"Burundi,BDI,""193,0071456"""
"Belgium,BEL,""54700,90932"""
"Benin,BEN,""1394,373302"""
"Burkina Faso,BFA,""882,6898101"""
"Bangladesh,BGD,""2551,017727"""
"Bulgaria,BGR,""15885,53913"""
"Bahrain,BHR,""29218,86056"""
"Bahamas, The,BHS,""35896,50511"""
"Bosnia and Herzegovina,BIH,""8638,666202"""
"Belarus,BLR,""7829,053137"""
"Belize,BLZ,""7459,998151"""
"Bermuda,BMU,""125841,6025"""
"Bolivia,BOL,""3686,279965"""
"Brazil,BRA,""10294,86668"""
"Barbados,BRB,""23804,02499"""
"Brunei Darussalam,BRN,""32962,90651"""
Bhutan,BTN,
"Botswana,BWA,""7820,232404"""
"Central African Republic,CAF,""495,9788972"""
"Canada,CAN,""53431,18571"""
"Central Europe and the Baltics,CEB,""22637,79501"""
"Switzerland,CHE,""99564,71003"""
"Channel Islands,CHI,""74589,13802"""
"Chile,CHL,""17067,81362"""
"China,CHN,""12614,06174"""
"Cote d'Ivoire,CIV,""2530,846593"""
"Cameroon,CMR,""1736,860911"""
"Congo, Dem. Rep.,COD,""627,5021817"""
"Congo, Rep.,COG,""2477,978455"""
"Colombia,COL,""6947,359287"""
"Comoros,COM,""1590,312377"""
"Cabo Verde,CPV,""4850,984158"""
"Costa Rica,CRI,""16942,02681"""
"Caribbean small states,CSS,""16906,56721"""
Cuba,CUB,
"Curacao,CUW,""22192,4453"""
"Cayman Islands,CYM,""97749,5079"""
"Cyprus,CYP,""36551,41797"""
"Czechia,CZE,""31591,17707"""
"Germany,DEU,""54343,22651"""
"Djibouti,DJI,""3554,839189"""
"Dominica,DMA,""9832,996431"""
"Denmark,DNK,""68453,87693"""
"Dominican Republic,DOM,""10717,62767"""
"Algeria,DZA,""5364,02795"""
"East Asia & Pacific (excluding high income),EAP,""9900,613565"""
