country,sentiment_subjectivity,flesch_reading_ease,grammatical_analysis,academic,vocational,userConsiderations,bridging,international,otherTypesOfSchool,economic_category,geographical_category,educational_category
Afghanistan,0.37045829678107295,45.373298114722374,918.1,23.0,10.8,20.4,1.3,0.1,0.3,1,1,1
Albania,0.36500906544159534,44.960382695803176,924.2,24.1,10.1,20.2,1.5,0.4,0.8,3,2,3
Algeria,0.37334153145844734,43.79901748181081,920.8,22.2,10.6,21.2,0.7,0.1,0.1,3,3,2
Andorra,0.3482664280205871,42.823762288267275,883.3,22.8,8.7,20.7,0.3,1.0,0.8,4,2,3
Angola,0.3719214553421388,46.94734666185169,891.2,24.5,12.2,19.7,0.8,0.1,0.1,2,4,2
Antigua and Barbuda,0.36755578205855277,45.281309658963906,937.6,22.3,8.3,21.6,1.0,0.9,0.1,4,5,3
Argentina,0.34982727633197935,43.28064398355425,937.7,25.7,9.6,20.5,0.8,2.0,0.6,3,5,2
Armenia,0.3797831406452496,46.04371733725266,914.7,21.8,8.5,21.1,1.1,0.7,0.7,3,2,3
Australia,0.35021899833844844,41.79884297934033,911.7,22.0,7.6,19.6,0.5,2.3,0.6,4,6,3
Austria,0.3661254436441118,42.6103097896033,924.5,20.6,7.9,20.4,0.8,1.4,0.4,4,2,3
Azerbaijan,0.3712262690716637,44.519944001390684,908.5,22.9,10.3,19.8,1.1,0.2,0.3,3,2,3
Bahamas,0.3680119969430854,42.835127608328776,945.8,23.8,8.4,22.6,1.0,1.4,0.6,4,5,3
Bahrain,0.3435836742380317,43.931817551803476,821.8,22.7,9.8,19.6,1.0,0.2,0.1,4,3,2
Bangladesh,0.3737132937963573,47.03629340402601,956.5,21.0,8.9,21.0,0.4,0.3,0.0,2,1,2
Barbados,0.3639313307264714,43.2602504720927,959.3,24.0,9.8,23.0,1.0,0.5,0.2,4,5,3
Belarus,0.3763427025052747,46.67036839704057,921.8,22.7,10.5,19.5,0.7,0.1,0.5,3,2,3
Belgium,0.3004318294234927,39.491934577389046,830.0,20.8,8.5,18.6,0.2,1.6,0.3,4,2,3
Belize,0.3642114139508813,46.27790312848926,967.7,21.6,9.3,21.5,1.5,0.8,1.1,3,5,2
Benin,0.3737778698090416,46.03065621745966,960.3,22.8,12.0,18.8,1.5,0.1,0.4,2,4,1
Bhutan,0.38101412920125827,47.778407444977915,945.5,22.9,10.0,19.5,1.5,0.2,1.1,2,1,1
Bolivia (Plurinational State of),0.37607478733038385,45.33583122398175,934.2,20.4,9.0,21.3,1.6,0.1,0.4,2,5,2
Bosnia and Herzegovina,0.3776746023789067,46.81235260661599,910.1,21.8,10.2,20.2,0.5,0.3,0.0,3,2,3
Botswana,0.3638201893058997,45.102407414222085,918.6,24.3,9.9,20.1,1.1,0.9,0.3,3,4,2
Brazil,0.3615577575161065,45.52121507869964,979.5,26.3,11.2,25.3,0.3,1.6,0.6,3,5,2
Brunei Darussalam,0.37917722815290306,47.19460756009918,943.7,24.1,9.9,18.7,1.1,0.8,0.0,4,6,3
Bulgaria,0.3725333632641943,44.039223279210354,886.9,25.5,12.1,17.2,0.5,0.2,0.0,4,2,3
Burkina Faso,0.3698452914888271,47.02303582382194,931.1,20.7,10.4,20.9,2.3,0.0,0.4,1,4,1
Burundi,0.3633790906277118,46.927130691201754,910.1,22.4,9.1,19.9,1.7,0.2,0.3,1,4,1
Cabo Verde,0.3793932671151648,47.194172847329185,958.4,22.6,11.8,22.4,1.0,0.0,0.0,2,4,2
Cambodia,0.38339132490571676,45.99745218284298,937.5,22.0,10.3,19.5,0.8,0.4,0.1,2,6,1
Cameroon,0.3776026741780936,45.7189017718849,946.9,25.2,10.0,19.3,1.7,0.2,1.0,2,4,2
