Feature,H_statistic,Raw_p_value,FDR_p_value,Significant_raw,Significant_FDR,Effect_size_eta_squared,Group_counts,Group_means
flesch_reading_ease,43.6039580763221,1.831731447894717e-09,1.4063855597277293e-08,True,True,0.2159785004059686,"[25, 50, 54, 63]","[np.float64(49.17429424886311), np.float64(48.55102704756587), np.float64(47.2292787957368), np.float64(45.549298341212825)]"
international,42.72669923158602,2.8127711194554588e-09,1.4063855597277293e-08,True,True,0.21131222995524476,"[25, 50, 54, 63]","[np.float64(0.168), np.float64(0.17600000000000002), np.float64(0.4333333333333333), np.float64(0.9111111111111112)]"
vocational,29.392256889029692,1.8522320619914522e-06,6.174106873304841e-06,True,True,0.14038434515441325,"[25, 50, 54, 63]","[np.float64(13.039999999999997), np.float64(12.204), np.float64(11.84074074074074), np.float64(11.019047619047615)]"
sentiment_polarity,18.74601420072929,0.00030852893086758096,0.0007713223271689524,True,True,0.08375539468473027,"[25, 50, 54, 63]","[np.float64(0.38148602916559476), np.float64(0.38018013651376437), np.float64(0.3737444805721078), np.float64(0.36901551102171654)]"
grammatical_analysis,6.591010314568064,0.08614156072498468,0.17228312144996935,False,False,0.019101118694510977,"[25, 50, 54, 63]","[np.float64(924.16), np.float64(921.3), np.float64(922.9407407407409), np.float64(907.4253968253968)]"
academic,5.128254406220849,0.16264304677994124,0.2710717446332354,False,False,0.011320502160749197,"[25, 50, 54, 63]","[np.float64(22.248), np.float64(21.512000000000004), np.float64(22.28148148148148), np.float64(22.34920634920635)]"
!,2.1408170188224234,0.5436994382905043,0.7378406181944808,False,False,0.0,"[25, 50, 54, 63]","[np.float64(0.5599999999999999), np.float64(0.6759999999999999), np.float64(0.6814814814814815), np.float64(0.6634920634920635)]"
otherTypesOfSchool,1.9148221178321334,0.5902724945555846,0.7378406181944808,False,False,0.0,"[25, 50, 54, 63]","[np.float64(0.41600000000000004), np.float64(0.4159999999999999), np.float64(0.374074074074074), np.float64(0.47301587301587306)]"
background,1.541283891624254,0.6727753250761133,0.7475281389734592,False,False,0.0,"[25, 50, 54, 63]","[np.float64(7.696000000000001), np.float64(7.4639999999999995), np.float64(7.703703703703702), np.float64(7.4222222222222225)]"
userConsiderations,0.21719557342873302,0.9747667395977349,0.9747667395977349,False,False,0.0,"[25, 50, 54, 63]","[np.float64(11.592), np.float64(11.872), np.float64(11.688888888888888), np.float64(11.831746031746032)]"
