Feature,H_statistic,Raw_p_value,FDR_p_value,Significant_raw,Significant_FDR,Effect_size_eta_squared,Group_counts,Group_means
flesch_reading_ease,29.004155017804692,5.033009634488611e-07,5.033009634488611e-06,True,True,0.1428791270783317,"[28, 74, 90]","[np.float64(49.480074174008976), np.float64(47.66908479511048), np.float64(46.26601341506267)]"
international,16.91130473084593,0.00021269478260427005,0.0009538128329173697,True,True,0.07889579222669804,"[28, 74, 90]","[np.float64(0.1928571428571429), np.float64(0.3864864864864865), np.float64(0.6644444444444445)]"
vocational,16.318031804001176,0.0002861438498752109,0.0009538128329173697,True,True,0.07575678203175226,"[28, 74, 90]","[np.float64(12.75), np.float64(12.002702702702702), np.float64(11.384444444444446)]"
sentiment_polarity,6.807496949206893,0.03324840527769843,0.08312101319424607,True,False,0.025436491794745466,"[28, 74, 90]","[np.float64(0.3793271631720906), np.float64(0.3769249542446579), np.float64(0.3718081057462982)]"
academic,3.2994833223946105,0.1920995289733601,0.36452399234166083,False,False,0.006875573134363018,"[28, 74, 90]","[np.float64(21.400000000000002), np.float64(22.329729729729735), np.float64(22.12666666666667)]"
grammatical_analysis,3.0399770617095228,0.2187143954049965,0.36452399234166083,False,False,0.005502524136029221,"[28, 74, 90]","[np.float64(915.8642857142858), np.float64(924.2351351351352), np.float64(912.6444444444444)]"
background,1.333672423689571,0.5133300790145126,0.6427187795956255,False,False,0.0,"[28, 74, 90]","[np.float64(7.371428571428571), np.float64(7.694594594594594), np.float64(7.482222222222222)]"
!,1.3303831169981242,0.5141750236765005,0.6427187795956255,False,False,0.0,"[28, 74, 90]","[np.float64(0.5714285714285714), np.float64(0.6675675675675675), np.float64(0.6777777777777777)]"
userConsiderations,0.10224830488957928,0.9501606984356625,0.9798668409462378,False,False,0.0,"[28, 74, 90]","[np.float64(11.935714285714285), np.float64(11.75135135135135), np.float64(11.735555555555553)]"
otherTypesOfSchool,0.04067718627010119,0.9798668409462378,0.9798668409462378,False,False,0.0,"[28, 74, 90]","[np.float64(0.37857142857142856), np.float64(0.4324324324324325), np.float64(0.42888888888888893)]"
