Economy,Year,Economy Code,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
Afghanistan,2022,AFG,21.025
Albania,2022,ALB,97.853
Algeria,2019,DZA,64.007
Andorra,2022,AND,99.15
Angola,2021,AGO,74.305
Antigua and Barbuda,2021,ATG,90.096
Argentina,2023,ARG,
Armenia,2022,ARM,99.742
Australia,2023,AUS,99.492
Austria,2023,AUT,100.0
Azerbaijan,2023,AZE,99.94
"Bahamas, The",2023,BHS,99.061
Bahrain,2023,BHR,89.91
Bangladesh,2022,BGD,64.349
Barbados,2019,BRB,99.286
Belarus,2023,BLR,99.873
Belgium,2022,BEL,96.644
Belize,2021,BLZ,86.733
Benin,2022,BEN,37.605
Bhutan,2017,BTN,32.36
Bolivia,2023,BOL,76.102
Bosnia and Herzegovina,2023,BIH,91.395
Botswana,2023,BWA,89.959
Brazil,2023,BRA,85.137
Brunei Darussalam,2022,BRN,90.685
Bulgaria,2022,BGR,99.171
Burkina Faso,2023,BFA,18.757
Burundi,2017,BDI,18.0
Cabo Verde,2015,CPV,51.92
Cambodia,2021,KHM,43.209
Cameroon,2018,CMR,60.224
Canada,2023,CAN,96.3
Central African Republic,2019,CAF,30.843
Chad,2019,TCD,18.64
Chile,2023,CHL,92.221
China,2020,CHN,95.84
Colombia,2023,COL,82.267
Comoros,2022,COM,47.029
"Congo, Dem. Rep.",2020,COD,65.854
"Congo, Rep.",2015,COG,71.991
Costa Rica,2023,CRI,86.13
Cote d'Ivoire,2022,CIV,44.445
Croatia,2022,HRV,99.289
Cuba,2019,CUB,91.949
Cyprus,2022,CYP,97.412
Czechia,2022,CZE,99.217
Denmark,2022,DNK,98.923
Djibouti,2017,DJI,39.282
Dominica,2021,DMA,79.731
Dominican Republic,2023,DOM,67.552
Ecuador,2022,ECU,83.82
"Egypt, Arab Rep.",2022,EGY,66.608
El Salvador,2023,SLV,64.54
Equatorial Guinea,2023,GNQ,
Eritrea,2023,ERI,
Estonia,2022,EST,99.883
Eswatini,2023,SWZ,91.784
Ethiopia,2021,ETH,43.582
Fiji,2021,FJI,91.185
Finland,2022,FIN,99.963
France,2023,FRA,100.0
Gabon,2023,GAB,
"Gambia, The",2023,GMB,53.9
Georgia,2023,GEO,99.474
Germany,2022,DEU,98.997
Ghana,2022,GHA,64.894
Greece,2022,GRC,97.32
Grenada,2020,GRD,98.873
Guatemala,2023,GTM,52.642
Guinea,2019,GIN,72.05
Guinea-Bissau,2022,GNB,50.808
Guyana,2019,GUY,84.065
Haiti,2017,HTI,46.367
Honduras,2023,HND,61.39
Hungary,2022,HUN,99.7
Iceland,2022,ISL,99.977
India,2023,IND,65.58
Indonesia,2023,IDN,83.831
"Iran, Islamic Rep.",2022,IRN,86.522
Iraq,2021,IRQ,32.496
Ireland,2022,IRL,98.994
Israel,2022,ISR,96.472
Italy,2022,ITA,97.655
Jamaica,2022,JAM,93.138
Japan,2020,JPN,99.59
Jordan,2023,JOR,87.92
Kazakhstan,2019,KAZ,99.875
Kenya,2022,KEN,78.75
Kiribati,2020,KIR,96.95
"Korea, Dem. People's Rep.",2022,PRK,97.46
"Korea, Rep.",2023,KOR,97.748
