Member State,M49 Code,ISO Code,Start date,End date,Other Names,Earlier Name,Later Name,Geographic Term,Membership Document Symbol,Scope Note,French,Spanish,Arabic,Chinese,Russian
Afghanistan,4,AFG,11/09/1946,,"Islamic Republic of Afghanistan, Transitional Islamic State of Afghanistan, Transitional Islamic Government of Afghanistan, Dawlat-i Intiqalii Islamii Afghanistan",,,AFGHANISTAN,A/RES/34 (I),"Per UNTERM, formal name (or long form) ""Islamic Republic of Afghanistan"" adopted Nov. 2004; preceding that, formal name had been ""Transitional Islamic State of Afghanistan""",Afghanistan,Afganistán,أفغانستان,阿富汗,Афганистан
Albania,8,ALB,14/12/1955,,Republic of Albania,,,ALBANIA,A/RES/995 (X),,Albanie,Albania,ألبانيا,阿尔巴尼亚,Албания
Algeria,12,DZA,10/08/1962,,"People's Democratic Republic of Algeria, Al-Jazair",,,ALGERIA,A/RES/1754 (XVII),,Algérie,Argelia,الجزائر,阿尔及利亚,Алжир
Andorra,20,AND,28/07/1993,,Principality of Andorra,,,ANDORRA,A/RES/47/232,,Andorre,Andorra,أندورا,安道尔,Андорра
Angola,24,AGO,01/12/1976,,Republic of Angola,,,ANGOLA,A/RES/31/44,,Angola,Angola,أنغولا,安哥拉,Ангола
Antigua and Barbuda,28,ATG,11/11/1981,,,Antigua,,ANTIGUA AND BARBUDA,A/RES/36/26,,Antigua-et-Barbuda,Antigua y Barbuda,أنتيغوا وبربودا,安提瓜和巴布达,Антигуа и Барбуда
Argentina,32,ARG,24/10/1945,,Argentine Republic,,,ARGENTINA,,,Argentine,Argentina,الأرجنتين,阿根廷,Аргентина
Armenia,51,ARM,02/03/1992,,"Republic of Armenia, Arménie",,,ARMENIA,A/RES/46/227,,Arménie,Armenia,أرمينيا,亚美尼亚,Армения
Australia,36,AUS,24/10/1945,,Commonwealth of Australia,,,AUSTRALIA,,,Australie,Australia,أستراليا,澳大利亚,Австралия
Austria,40,AUT,14/12/1955,,Republic of Austria,,,AUSTRIA,A/RES/995 (X),,Autriche,Austria,النمسا,奥地利,Австрия
Azerbaijan,31,AZE,02/03/1992,,"Republic of Azerbaijan, Azerbaïdjan, Azerbaiyán, Azerbaijan Republic",,,AZERBAIJAN,A/RES/46/230,,Azerbaïdjan,Azerbaiyán,أذربيجان,阿塞拜疆,Азербайджан
Bahamas,44,BHS,18/09/1973,,"Commonwealth of the Bahamas, The Bahamas",,,BAHAMAS,A/RES/3051 (XXVIII),,Bahamas,Bahamas,جزر البهاما,巴哈马,Багамские Острова
Bahrain,48,BHR,21/09/1971,,Kingdom of Bahrain,,,BAHRAIN,A/RES/2752 (XXVI),,Bahreïn,Bahrein,البحرين,巴林,Бахрейн
Bangladesh,50,BGD,17/09/1974,,People's Republic of Bangladesh,,,BANGLADESH,A/RES/3203 (XXIX),,Bangladesh,Bangladesh,بنغلاديش,孟加拉国,Бангладеш
Barbados,52,BRB,12/09/1966,,,,,BARBADOS,A/RES/2175 (XXI),,Barbade,Barbados,بربادوس,巴巴多斯,Барбадос
Belarus,112,BLR,19/09/1991,,"Republic of Belarus, Bélarus, Belarús",Byelorussian SSR,,BELARUS,,,Bélarus,Belarús,بيلاروس,白俄罗斯,Беларусь
Belgium,56,BEL,24/10/1945,,Kingdom of Belgium,,,BELGIUM,,,Belgique,Bélgica,بلجيكا,比利时,Бельгия
Belize,84,BLZ,25/09/1981,,,British Honduras,,BELIZE,A/RES/36/3,,Belize,Belice,بليز,伯利兹,Белиз
Benin,204,BEN,30/11/1975,,Republic of Benin,Dahomey,,BENIN,,,Bénin,Benin,بنين,贝宁,Бенин
Bhutan,64,BTN,21/09/1971,,Kingdom of Bhutan,,,BHUTAN,A/RES/2751 (XXVI),,Bhoutan,Bhután,بوتان,不丹,Бутан
Bolivia (Plurinational State of),68,BOL,07/04/2009,,Plurinational State of Bolivia,Bolivia,,BOLIVIA (PLURINATIONAL STATE OF),,,Bolivie (État plurinational de),Bolivia (Estado Plurinacional de),بوليفيا,玻利维亚（多民族国）,Боливия (Многонациогнальное государство)
Bosnia and Herzegovina,70,BIH,22/05/1992,,"Bosnie-Herzégovine, Bosnia y Herzegovina, Bosnia and Hercegovina, Bosnia i Hercegovina",,,BOSNIA AND HERZEGOVINA,A/RES/46/237,,Bosnie-Herzégovine,Bosnia y Herzegovina,البوسنة والهرسك,波斯尼亚和黑塞哥维那,Босния и Герцеговина
Botswana,72,BWA,17/10/1966,,Republic of Botswana,,,BOTSWANA,A/RES/2136 (XXI),,Botswana,Botswana,بوتسوانا,博茨瓦纳,Ботсвана
Brazil,76,BRA,24/10/1945,,Federative Republic of Brazil,,,BRAZIL,,,Brésil,Brasil,البرازيل,巴西,Бразилия
Brunei Darussalam,96,BRN,21/09/1984,,Brunei,,,BRUNEI DARUSSALAM,A/RES/39/1,,Brunéi Darussalam,Brunei Darussalam,بروني دار السلام,文莱达鲁萨兰国,Бруней-Даруссалам
Bulgaria,100,BGR,14/12/1955,,Republic of Bulgaria,,,BULGARIA,A/RES/995 (X),,Bulgarie,Bulgaria,بلغاريا,保加利亚,Болгария
Burkina Faso,854,BFA,04/08/1984,,"Burkina, Bourkina, Bourkina Fasso, République démocratique du Burkina Faso",Upper Volta,,BURKINA FASO,,,Burkina Faso,Burkina Faso,بوركينا فاسو,布基纳法索,Буркина-Фасо
Burundi,108,BDI,18/09/1962,,Republic of Burundi,,,BURUNDI,A/RES/1749 (XVII),,Burundi,Burundi,بوروندي,布隆迪,Бурунди
Cabo Verde,132,CPV,24/10/2013,,Republic of Cabo Verde,Cape Verde,,CABO VERDE,,,Cabo Verde,Cabo Verde,كابو فيردي,佛得角,Кабо-Верде
Cambodia,116,KHM,"1955-12-14, 1975-04-30, 1990-02-03","1970-12-28, 1976-04-06","Kingdom of Cambodia, Cambodge, Camboya",,Khmer Republic,CAMBODIA,A/RES/995(X),"Name reverted to Cambodia on 3 Feb. 1990, formerly, as follows: as from 6 Apr. 1976 to 3 Feb. 1990 'Democratic Kampuchea'; as from 30 Apr. 1975 to 6 Apr. 1976 'Cambodia'; as from 28 Dec. 1970 to 30 Apr. 1975 'Khmer Republic'",Cambodge,Camboya,كمبوديا,柬埔寨,Камбоджа
Cameroon,120,CMR,"1960-09-20, 1984-02-04",03/09/1975,Republic of Cameroon,,United Republic of Cameroon,CAMEROON,A/RES/1476 (XV),,Cameroun,Camerún,الكاميرون,喀麦隆,Камерун
Canada,124,CAN,24/10/1945,,,,,CANADA,,,Canada,Canadá,كندا,加拿大,Канада
Central African Republic,140,CAF,"1960-09-20, 1979-09-20",19/12/1976,,Central African Empire,Central African Empire,CENTRAL AFRICAN REPUBLIC,A/RES/1488 (XV),,République centrafricaine,República Centroafricana,جمهورية أفريقيا الوسطى,中非共和国,Центральноафриканская Республика
Chad,148,TCD,20/09/1960,,Republic of Chad,,,CHAD,A/RES/1485 (XV),,Tchad,Chad,تشاد,乍得,Чад
Chile,152,CHL,24/10/1945,,Republic of Chile,,,CHILE,,,Chili,Chile,شيلي,智利,Чили
China,156,CHN,24/10/1945,,"People's Republic of China, Zhongguo, Zhonghua Renmin Gongheguo",,,CHINA,,,Chine,China,الصين,中国,Китай
Colombia,170,COL,24/10/1945,,Republic of Colombia,,,COLOMBIA,,,Colombie,Colombia,كولومبيا,哥伦比亚,Колумбия
Comoros,174,COM,11/12/1975,,Union of the Comoros,,,COMOROS,A/RES/3385 (XXX),,Comores,Comoras,جزر القمر,科摩罗,Коморские Острова
Congo,178,COG,15/11/1971,,"Republic of the Congo, Congo Republic, République du Congo, Republic of Congo",People's Republic of the Congo,,CONGO,,,Congo,Congo,الكونغو,刚果,Конго
Costa Rica,188,CRI,24/10/1945,,Republic of Costa Rica,,,COSTA RICA,,,Costa Rica,Costa Rica,كوستاريكا,哥斯达黎加,Коста-Рика
Côte d'Ivoire,384,CIV,01/01/1986,,"Territoire de la Côte d'Ivoire, République de la Côte d'Ivoire, Republic of Côte d'Ivoire",Ivory Coast,,CÔTE D'IVOIRE,,,Côte d'Ivoire,Côte d'Ivoire,كوت ديفوار,科特迪瓦,Кот-д'Ивуар
Croatia,191,HRV,22/05/1992,,"Republic of Croatia, Croatie, Croacia, Hrvatska",,,CROATIA,A/RES/46/238,,Croatie,Croacia,كرواتيا,克罗地亚,Хорватия
Cuba,192,CUB,24/10/1945,,Republic of Cuba,,,CUBA,,,Cuba,Cuba,كوبا,古巴,Куба
Cyprus,196,CYP,20/09/1960,,Republic of Cyprus,,,CYPRUS,A/RES/1489 (XV),,Chypre,Chipre,قبرص,塞浦路斯,Кипр
Czechia,203,CZE,17/05/2016,,,Czech Republic,,CZECHIA,,"Short name changed to 'Czechia' on 17 May 2016, formal name remains 'Czech Republic'",Tchéquie,Chequia,تشيكيا,捷克,Чехия
Democratic People's Republic of Korea,408,PRK,17/09/1991,,"North Korea, Korean People's Republic, DPRK",,,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,A/RES/46/1,,République populaire démocratique de Corée,República Popular Democrática de Corea,جمهورية كوريا الشعبية الديمقراطية,朝鲜民主主义人民共和国,Корейская Народно-Демократическая Республика
Democratic Republic of the Congo,180,COD,"1964-08-01, 1997-05-17",26/10/1971,"Congo (Democratic Republic), Democratic Republic of Congo, République démocratique du Congo, Kongo, RDC, DRC, DRK",Zaïre,Zaïre,DEMOCRATIC REPUBLIC OF THE CONGO,,Name changed from Republic of the Congo (Leopoldville) to Democratic Republic of the Congo on 1 Aug. 1964 (Luluabourg Constitution). Name changed to Zaire on 27 Oct. 1971 and changed back to Democratic Republic of the Congo on 17 May 1997.,République démocratique du Congo,República Democrática del Congo,جمهورية الكونغو الديمقراطية,刚果民主共和国,Демократическая Республика Конго
Denmark,208,DNK,24/10/1945,,Kingdom of Denmark,,,DENMARK,,,Danemark,Dinamarca,الدانمرك,丹麦,Дания
Djibouti,262,DJI,20/09/1977,,Republic of Djibouti,French Territory of the Afars and Issas,,DJIBOUTI,A/RES/32/1,,Djibouti,Djibouti,جيبوتي,吉布提,Джибути
Dominica,212,DMA,18/12/1978,,Commonwealth of Dominica,,,DOMINICA,A/RES/33/107,,Dominique,Dominica,دومينيكا,多米尼克,Доминика
Dominican Republic,214,DOM,24/10/1945,,,,,DOMINICAN REPUBLIC,,,République dominicaine,República Dominicana,الجمهورية الدومينيكية,多米尼加共和国,Доминиканская Республика
Ecuador,218,ECU,24/10/1945,,Republic of Ecuador,,,ECUADOR,,,Équateur,Ecuador,إكوادور,厄瓜多尔,Эквадор
Egypt,818,EGY,"1945-10-24, 1971-09-02",21/02/1958,Arab Republic of Egypt,United Arab Republic,United Arab Republic,EGYPT,,Egypt and Syria united to form the United Arab Republic from 22 Feb. 1958 to 27 Sept. 1961. Egypt retained the name United Arab Republic as its own official designation until 2 Sept. 1971.,Égypte,Egipto,مصر,埃及,Египет
El Salvador,222,SLV,24/10/1945,,Republic of El Salvador,,,EL SALVADOR,,,El Salvador,El Salvador,السلفادور,萨尔瓦多,Сальвадор
Equatorial Guinea,226,GNQ,11/12/1968,,"Republic of Equatorial Guinea, República de Guinea Ecuatorial",,,EQUATORIAL GUINEA,A/RES/2384 (XXIII),,Guinée équatoriale,Guinea Ecuatorial,غينيا الاستوائية,赤道几内亚,Экваториальная Гвинея
Eritrea,232,ERI,28/05/1993,,"State of Eritrea, Erythrée",,,ERITREA,A/RES/47/230,,Erythrée,Eritrea,إريتريا,厄立特里亚,Эритрея
Estonia,233,EST,17/09/1991,,"Republic of Estonia, Estonie, Estoniia",Estonian SSR,,ESTONIA,A/RES/46/4,,Estonie,Estonia,إستونيا,爱沙尼亚,Эстония
Eswatini,748,SWZ,19/04/2018,,Kingdom of Eswatini,Swaziland,,ESWATINI,,,Eswatini,Eswatini,إسواتيني,斯威士兰,Эсватини
Ethiopia,231,ETH,24/10/1945,,Federal Democratic Republic of Ethiopia,,,ETHIOPIA,,,Éthiopie,Etiopía,إثيوبيا,埃塞俄比亚,Эфиопия
Fiji,242,FJI,13/10/1970,,"Republic of Fiji, Republic of the Fiji Islands",,,FIJI,A/RES/2622 (XXV),,Fidji,Fiji,فيجي,斐济,Фиджи
Finland,246,FIN,14/12/1955,,Republic of Finland,,,FINLAND,A/RES/995 (X),,Finlande,Finlandia,فنلندا,芬兰,Финляндия
France,250,FRA,24/10/1945,,French Republic,,,FRANCE,,,France,Francia,فرنسا,法国,Франция
Gabon,266,GAB,20/09/1960,,Gabonese Republic,,,GABON,A/RES/1487 (XV),,Gabon,Gabón,غابون,加蓬,Габон
Gambia,270,GMB,21/09/1965,,"The Gambia, Republic of The Gambia, Islamic Republic of the Gambia",,,GAMBIA,A/RES/2008 (XX),"From 24 Feb. 2016 - 15 Feb. 2017, formal name Islamic Republic of The Gambia. From 16 Feb. 2017, formal name Republic of The Gambia.",Gambie,Gambia,غامبيا,冈比亚,Гамбия
Georgia,268,GEO,31/07/1992,,Géorgie,Georgian SSR,,GEORGIA,A/RES/46/241,,Géorgie,Georgia,جورجيا,格鲁吉亚,Грузия
Germany,276,DEU,03/10/1990,,"Federal Republic of Germany, Allemagne, Deutschland","Germany, Federal Republic of",,GERMANY,,On 3 Oct. 1990 the German Democratic Republic and the Federal Republic of Germany united to form one sovereign nation called the 'Federal Republic of Germany',Allemagne,Alemania,ألمانيا,德国,Германия
Ghana,288,GHA,08/03/1957,,Republic of Ghana,,,GHANA,A/RES/1118 (XI),,Ghana,Ghana,غانا,加纳,Гренада
Greece,300,GRC,24/10/1945,,Hellenic Republic,,,GREECE,,,Grèce,Grecia,اليونان,希腊,Греция
Grenada,308,GRD,17/09/1974,,"Grenada, West Indies, Granada",,,GRENADA,A/RES/3204 (XXIX),,Grenade,Granada,غرينادا,格林纳达,Гренада
Guatemala,320,GTM,24/10/1945,,Republic of Guatemala,,,GUATEMALA,,,Guatemala,Guatemala,غواتيمالا,危地马拉,Гватемала
Guinea,324,GIN,12/12/1958,,Republic of Guinea,,,GUINEA,A/RES/1325 (XIII),,Guinée,Guinea,غينيا,几内亚,Гвинея
Guinea-Bissau,624,GNB,17/09/1974,,"Guinea Bissau, Republic of Guinea-Bissau",,,GUINEA-BISSAU,A/RES/3205 (XXIX),,Guinée-Bissau,Guinea-Bissau,غينيا - بيساو,几内亚比绍,Гвинея-Биса
Guyana,328,GUY,20/09/1966,,"Republic of Guyana, Co-operative Republic of Guyana",,,GUYANA,A/RES/2133 (XXI),,Guyana,Guyana,غيانا,圭亚那,Гайана
Haiti,332,HTI,24/10/1945,,Republic of Haiti,,,HAITI,,,Haïti,Haití,هايتي,海地,Гаити
Honduras,340,HND,24/10/1945,,Republic of Honduras,,,HONDURAS,,,Honduras,Honduras,هندوراس,洪都拉斯,Гондурас
Hungary,348,HUN,14/12/1955,,,,,HUNGARY,A/RES/995 (X),,Hongrie,Hungría,هنغاريا,匈牙利,Венгрия
Iceland,352,ISL,19/11/1946,,,,,ICELAND,A/RES/34 (I),,Islande,Islandia,آيسلندا,冰岛,Исландия
India,356,IND,24/10/1945,,Republic of India,,,INDIA,,,Inde,India,الهند,印度,Индия
Indonesia,360,IDN,28/09/1950,,Republic of Indonesia,,,INDONESIA,A/RES/491 (V),,Indonésie,Indonesia,إندونيسيا,印度尼西亚,Индонезия
Iran (Islamic Republic of),364,IRN,11/04/1982,,Islamic Republic of Iran,Iran,,IRAN (ISLAMIC REPUBLIC OF),,"On 4 Nov. 1982, the Government of the Islamic Republic of Iran notified the Secretary-General that the designation 'Iran (Islamic Republic of)' should be used.",Iran (République islamique d'),Irán (República Islámica del),إيران (جمهورية - الإسلامية),伊朗伊斯兰共和国,Иран (Исламская Республика)
Iraq,368,IRQ,24/10/1945,,Republic of Iraq,,,IRAQ,,,Iraq,Iraq,العراق,伊拉克,Ирак
Ireland,372,IRL,14/12/1955,,,,,IRELAND,A/RES/995 (X),,Irlande,Irlanda,أيرلندا,爱尔兰,Ирландия
Israel,376,ISR,05/11/1949,,State of Israel,,,ISRAEL,A/RES/273 (III),,Israël,Israel,إسرائيل,以色列,Израиль
Italy,380,ITA,14/12/1955,,Republic of Italy,,,ITALY,A/RES/995 (X),,Italie,Italia,إيطاليا,意大利,Италия
Jamaica,388,JAM,18/09/1962,,,,,JAMAICA,A/RES/1750 (XVII),,Jamaïque,Jamaica,جامايكا,牙买加,Ямайка
Japan,392,JPN,18/12/1956,,,,,JAPAN,A/RES/1113 (XI),,Japon,Japón,اليابان,日本,Япония
Jordan,400,JOR,14/12/1955,,Hashemite Kingdom of Jordan,Transjordan,,JORDAN,A/RES/995(X),,Jordanie,Jordania,الأردن,约旦,Иордания
Kazakhstan,398,KAZ,02/03/1992,,"Kazajstán, Republic of Kazakstan, Republic of Kazakhstan, Kazakstan, Respublika Kazakhstan",,,KAZAKHSTAN,A/RES/46/224,"Spelling ""Kazakstan"" adopted by UN 8 May 1995 at country's request. Spelling reverted to ""Kazakhstan"" effective 20 June 1997",Kazakhstan,Kazajstán,كازاخستان,哈萨克斯坦,Казахстан
Kenya,404,KEN,16/12/1963,,Republic of Kenya,,,KENYA,A/RES/1976 (XVIII),,Kenya,Kenya,كينيا,肯尼亚,Кения
Kiribati,296,KIR,14/09/1999,,Republic of Kiribati,Gilbert Islands,,KIRIBATI,A/RES/54/1,,Kiribati,Kiribati,كيريباس,基里巴斯,Кирибати
Kuwait,414,KWT,14/05/1963,,State of Kuwait,,,KUWAIT,A/RES/1872 (S-IV),,Koweït,Kuwait,الكويت,科威特,Кувейт
Kyrgyzstan,417,KGZ,02/03/1992,,"Kyrgyz Republic, Kyrgyzskaia Respublika",,,KYRGYZSTAN,A/RES/46/225,,Kirghizistan,Kirguistán,قيرغيزستان,吉尔吉斯斯坦,Кыргызстан
Lao People's Democratic Republic,418,LAO,23/12/1975,,"People's Democratic Republic of Laos, République démocratique populaire Lao, Lao PDR",Laos,,LAO PEOPLE'S DEMOCRATIC REPUBLIC,,,République démocratique populaire lao,República Democrática Popular Lao,جمهورية لاو الديمقراطية الشعبية,老挝人民民主共和国,Лаосская Народно-Демократическая Республика
Latvia,428,LVA,17/09/1991,,"Republic of Latvia, Lettonie, Letonia, Latviia",Latvian SSR,,LATVIA,A/RES/46/5,,Lettonie,Letonia,لاتفيا,拉脱维亚,Латвия
Lebanon,422,LBN,24/10/1945,,Lebanese Republic,,,LEBANON,,,Liban,Líbano,لبنان,黎巴嫩,Ливан
Lesotho,426,LSO,17/10/1966,,Kingdom of Lesotho,,,LESOTHO,A/RES/2137 (XXI),,Lesotho,Lesotho,ليسوتو,莱索托,Лесото
Liberia,430,LBR,24/10/1945,,Republic of Liberia,,,LIBERIA,,,Libéria,Liberia,ليبريا,利比里亚,Либерия
Libya,434,LBY,16/09/2011,,"Kingdom of Libya, State of Libya",Libyan Arab Jamahiriya,,LIBYA,,"By a communication of 22 Dec. 2017, the Permanent Mission informed the UN of a change of the official name to State of Libya; short name: Libya.",Libye,Libia,ليبيا,利比亚,Ливия
Liechtenstein,438,LIE,18/09/1990,,Principality of Liechtenstein,,,LIECHTENSTEIN,A/RES/45/1,,Liechtenstein,Liechtenstein,ليختنشتاين,列支敦士登,Лихтенштейн
Lithuania,440,LTU,17/09/1991,,"Republic of Lithuania, Lituanie, Letonia, Lithuanie, Lietuvos Respublika",Lithuanian SSR,,LITHUANIA,A/RES/46/6,,Lituanie,Lituania,ليتوانيا,立陶宛,Литва
