,Low-income,Lower-middle,Upper-middle,High-income,South Asia,Europe/CA/NA,MENA,Sub-Saharan Africa,LAC,East Asia/Pacific,Low (<50%),Medium (50-90%),High (>90%)
Economic_sentiment_subjectivity,0.381 (0.017),0.380 (0.014),0.374 (0.014),0.369 (0.017),,,,,,,,,
Economic_flesch_reading_ease,49.084 (2.298),48.567 (2.104),47.229 (2.362),45.565 (2.860),,,,,,,,,
Economic_grammatical_analysis,924.592 (40.161),922.136 (38.140),922.941 (42.313),908.010 (36.286),,,,,,,,,
Economic_academic,22.277 (2.264),21.532 (2.096),22.281 (2.093),22.375 (2.076),,,,,,,,,
Economic_vocational,11.046 (1.504),10.612 (1.406),10.470 (1.264),9.702 (1.535),,,,,,,,,
Economic_userConsiderations,19.623 (1.944),19.652 (2.155),19.748 (1.843),19.648 (1.620),,,,,,,,,
Economic_bridging,1.654 (0.881),1.320 (0.762),1.015 (0.607),0.968 (0.568),,,,,,,,,
Economic_international,0.177 (0.235),0.176 (0.184),0.433 (0.502),0.911 (0.934),,,,,,,,,
Economic_otherTypesOfSchool,0.423 (0.364),0.416 (0.414),0.374 (0.409),0.473 (0.436),,,,,,,,,
Geographical_sentiment_subjectivity,,,,,0.381 (0.010),0.370 (0.017),0.379 (0.018),0.382 (0.014),0.370 (0.014),0.373 (0.016),,,
Geographical_flesch_reading_ease,,,,,48.511 (2.155),45.879 (2.802),47.581 (3.417),48.952 (2.106),46.620 (2.433),47.341 (2.405),,,
Geographical_grammatical_analysis,,,,,937.475 (31.701),904.870 (33.462),898.320 (37.660),930.113 (40.377),925.570 (37.560),922.373 (42.764),,,
Geographical_academic,,,,,22.175 (3.084),22.107 (1.976),21.890 (1.807),22.067 (2.175),22.636 (2.150),21.780 (2.250),,,
Geographical_vocational,,,,,10.950 (1.679),10.185 (1.497),10.320 (0.909),10.871 (1.559),10.212 (1.437),9.720 (1.475),,,
Geographical_userConsiderations,,,,,19.425 (1.822),19.381 (1.669),19.590 (1.499),19.850 (2.228),20.030 (1.977),19.647 (1.683),,,
Geographical_bridging,,,,,1.175 (0.845),0.878 (0.644),1.200 (0.649),1.571 (0.822),1.012 (0.589),1.173 (0.509),,,
Geographical_international,,,,,0.150 (0.141),0.807 (0.873),0.290 (0.294),0.208 (0.230),0.564 (0.657),0.500 (0.825),,,
Geographical_otherTypesOfSchool,,,,,0.450 (0.583),0.396 (0.425),0.370 (0.432),0.446 (0.372),0.394 (0.408),0.500 (0.416),,,
Educational_sentiment_subjectivity,,,,,,,,,,,0.379 (0.015),0.377 (0.016),0.372 (0.016)
Educational_flesch_reading_ease,,,,,,,,,,,49.509 (2.301),47.658 (2.227),46.277 (2.911)
Educational_grammatical_analysis,,,,,,,,,,,917.357 (36.154),924.384 (43.838),913.053 (35.938)
Educational_academic,,,,,,,,,,,21.436 (1.562),22.339 (2.504),22.144 (1.895)
Educational_vocational,,,,,,,,,,,10.821 (1.270),10.528 (1.533),10.020 (1.467)
Educational_userConsiderations,,,,,,,,,,,19.657 (2.147),19.776 (1.991),19.593 (1.663)
Educational_bridging,,,,,,,,,,,1.657 (0.860),1.155 (0.681),1.020 (0.631)
Educational_international,,,,,,,,,,,0.193 (0.228),0.387 (0.572),0.664 (0.806)
Educational_otherTypesOfSchool,,,,,,,,,,,0.379 (0.341),0.435 (0.433),0.429 (0.418)
